錢	銭	MJ026983
鎭	鎮	MJ027132
鎻	鎖	MJ027154
鐡	鉄	MJ027272
鐵	鉄	MJ027291
鑄	鋳	MJ027308
鑒	鑑	MJ027325
鑛	鉱	MJ027334
鑪	炉	MJ027354
鑵	缶	MJ027370
閇	閉	MJ027416
𨳝	閏	MJ052103
閒	間	MJ027430
閠	閏	MJ027445
閧	巷	MJ027454
閱	閲	MJ027465
關	関	MJ027515
陦	島	MJ027604
陷	陥	MJ027619
隨	随	MJ027689
險	険	MJ027691
隱	隠	MJ027698
隸	隷	MJ027708
雙	双	MJ027750
雜	雑	MJ027755
霸	覇	MJ027866
靈	霊	MJ027886
靑	青	MJ027896
靜	静	MJ027915
靱	靭	MJ027945
韵	韻	MJ028126
頬	頰	MJ028205
顏	顔	MJ028246
顯	顕	MJ028281
飜	翻	MJ028335
飮	飲	MJ028363
餘	余	MJ028433
餝	飾	MJ028442
餠	餅	MJ028448
駈	駆	MJ028651
駲	馴	MJ028699
騷	騒	MJ028777
驅	駆	MJ028795
驗	験	MJ028818
驛	駅	MJ028825
髓	髄	MJ028893
體	体	MJ028895
髙	高	MJ028902
髮	髪	MJ028925
鬪	闘	MJ028989
鬻	粥	MJ029012
鴈	雁	MJ029449
鴎	鷗	MJ029458
鷄	鶏	MJ029668
鹽	塩	MJ029777
麥	麦	MJ029824
黏	粘	MJ029890
默	黙	MJ029901
點	点	MJ029911
黨	党	MJ029923
鼡	鼠	MJ030002
𡿳	鼠	MJ030003
齊	斉	MJ030059
齋	斎	MJ030060
齒	歯	MJ030072
齡	齢	MJ030089
龍	竜	MJ030124
龜	亀	MJ030156
龝	秋	MJ030161
𤋮	熙	MJ039982
𠀍	世	MJ030322
𠅘	亭	MJ030492
𠅙	亮	MJ030493
𠕁	冊	MJ031030
𠕠	晟	MJ031049
𠘭	允	MJ031159
𠛬	刑	MJ031289
𠤎	化	MJ031644
𠬞	収	MJ032011
𠮷	吉	MJ032129
𡉟	壮	MJ032950
𡿦	坤	MJ034899
𢎗	弓	MJ035569
𢎜	弓	MJ035573
𢑐	当	MJ035708
𢚰	悩	MJ036121
𣥂	少	MJ038647
𤢪	猟	MJ040896
𥔵	磁	MJ042865
𥳑	簡	MJ043959
𦗟	聴	MJ045417
𧩽	諄	MJ049031
𧰼	象	MJ049391
𨻶	隙	MJ052425
